Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist,Chrome 92.0.4515.159,,,2021-08-26 14:51:51,2021-08-26 14:52:06,14.152s,FAILED
,,,,,,,
Test Cases/Pre-regist Covid/linktree,Chrome 92.0.4515.159,,,2021-08-26 14:52:03,2021-08-26 14:52:06,2.729s,FAILED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-26 14:52:03,2021-08-26 14:52:05,2.167s,PASSED
"navigateToUrl(""https://mysiloam-api-staging.siloamhospitals.com/linktree/"")",Chrome 92.0.4515.159,,,2021-08-26 14:52:05,2021-08-26 14:52:05,0.345s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Pre-regist Covid/linktree/div_Select""), 120)",Chrome 92.0.4515.159,,,2021-08-26 14:52:05,2021-08-26 14:52:06,0.185s,FAILED
