Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist,Chrome 92.0.4515.159,,,2021-08-27 10:26:54,2021-08-27 10:27:38,44.149s,PASSED
,,,,,,,
Test Cases/Pre-regist Covid/OP Admin,Chrome 92.0.4515.159,,,2021-08-27 10:26:54,2021-08-27 10:27:38,43.560s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-27 10:26:56,2021-08-27 10:26:59,3.012s,PASSED
"navigateToUrl(""http://10.85.139.100:8484/checkup"")",Chrome 92.0.4515.159,Link URL,,2021-08-27 10:26:59,2021-08-27 10:27:01,2.352s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""), 120)",Chrome 92.0.4515.159,,,2021-08-27 10:27:01,2021-08-27 10:27:04,3.203s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-27 10:27:04,2021-08-27 10:27:04,0.254s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 10:27:04,2021-08-27 10:27:06,2.044s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Username_username""), Username)",Chrome 92.0.4515.159,"Username
",,2021-08-27 10:27:06,2021-08-27 10:27:07,0.764s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 10:27:07,2021-08-27 10:27:09,2.008s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Password_password""), Password)",Chrome 92.0.4515.159,"Password
",,2021-08-27 10:27:09,2021-08-27 10:27:10,0.675s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""))",Chrome 92.0.4515.159,,,2021-08-27 10:27:10,2021-08-27 10:27:10,0.490s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 10:27:10,2021-08-27 10:27:12,2.005s,PASSED
"waitForPageLoad(30, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-27 10:27:12,2021-08-27 10:27:12,0.069s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add New Group""), 10)",Chrome 92.0.4515.159,,,2021-08-27 10:27:12,2021-08-27 10:27:13,0.365s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add New Group""))",Chrome 92.0.4515.159,,,2021-08-27 10:27:13,2021-08-27 10:27:13,0.401s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/group-name""), GroupName)",Chrome 92.0.4515.159,group name,,2021-08-27 10:27:13,2021-08-27 10:27:14,1.217s,PASSED
"selectOptionByValue(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/select_group type""), GroupType, true)",Chrome 92.0.4515.159,,,2021-08-27 10:27:14,2021-08-27 10:27:15,0.972s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 10:27:15,2021-08-27 10:27:17,2.010s,PASSED
"if (Services == ""DT"")",Chrome 92.0.4515.159,,,2021-08-27 10:27:17,2021-08-27 10:27:17,0.001s,PASSED
else,Chrome 92.0.4515.159,,,2021-08-27 10:27:17,2021-08-27 10:27:18,0.366s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 10:27:18,2021-08-27 10:27:20,2.011s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/dropdown""))",Chrome 92.0.4515.159,,,2021-08-27 10:27:20,2021-08-27 10:27:20,0.389s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-27 10:27:20,2021-08-27 10:27:25,5.012s,PASSED
"if (Paket == ""Rapid Test"")",Chrome 92.0.4515.159,,,2021-08-27 10:27:25,2021-08-27 10:27:28,2.699s,PASSED
delay(10),Chrome 92.0.4515.159,,,2021-08-27 10:27:28,2021-08-27 10:27:38,10.005s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/group-name""))",Chrome 92.0.4515.159,,,2021-08-27 10:27:38,2021-08-27 10:27:38,0.002s,NOT_RUN
