Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist,Chrome 92.0.4515.159,,,2021-08-27 11:21:02,2021-08-27 11:22:24,1m - 21.801s,PASSED
,,,,,,,
Test Cases/Pre-regist Covid/linktree,Chrome 92.0.4515.159,,,2021-08-27 11:21:03,2021-08-27 11:22:24,1m - 21.167s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-27 11:21:04,2021-08-27 11:21:07,2.905s,PASSED
"navigateToUrl(""https://mysiloam-api-staging.siloamhospitals.com/linktree/"")",Chrome 92.0.4515.159,,,2021-08-27 11:21:07,2021-08-27 11:21:07,0.497s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/div_Select""), 120)",Chrome 92.0.4515.159,,,2021-08-27 11:21:07,2021-08-27 11:21:09,1.257s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-27 11:21:09,2021-08-27 11:21:09,0.159s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 11:21:09,2021-08-27 11:21:10,1.044s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/div_Select""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:10,2021-08-27 11:21:10,0.420s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:21:10,2021-08-27 11:21:12,2.009s,PASSED
"setText(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Select_react-select-2-input""), NamaRS)",Chrome 92.0.4515.159,,,2021-08-27 11:21:12,2021-08-27 11:21:13,0.847s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:21:13,2021-08-27 11:21:15,2.004s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Pilih RS""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:15,2021-08-27 11:21:16,0.384s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:21:16,2021-08-27 11:21:18,2.010s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Pilih NonDT""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:18,2021-08-27 11:21:18,0.386s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Rapid Test Serology""), 30)",Chrome 92.0.4515.159,,,2021-08-27 11:21:18,2021-08-27 11:21:19,0.683s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Rapid Test Serology""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:19,2021-08-27 11:21:19,0.378s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:21:19,2021-08-27 11:21:21,2.011s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/button_Pilih""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:21,2021-08-27 11:21:21,0.388s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Nama Lengkap(Sesuai ID)_name""), 0)",Chrome 92.0.4515.159,,,2021-08-27 11:21:21,2021-08-27 11:21:24,3.017s,PASSED
"setText(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Nama Lengkap(Sesuai ID)_name""), NamaSID)",Chrome 92.0.4515.159,,,2021-08-27 11:21:24,2021-08-27 11:21:25,0.917s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 11:21:25,2021-08-27 11:21:26,1.016s,PASSED
"scrollToElement(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Tanggal Kunjungan_appointment_date""), 30)",Chrome 92.0.4515.159,,,2021-08-27 11:21:26,2021-08-27 11:21:27,0.349s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:21:27,2021-08-27 11:21:29,2.020s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Nomor Handphone_form-control""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:29,2021-08-27 11:21:29,0.368s,PASSED
"setText(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Nomor Handphone_form-control""), NoHP)",Chrome 92.0.4515.159,,,2021-08-27 11:21:29,2021-08-27 11:21:30,0.906s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Alamat Email_email""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:30,2021-08-27 11:21:30,0.457s,PASSED
"setText(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Alamat Email_email""), Email)",Chrome 92.0.4515.159,,,2021-08-27 11:21:30,2021-08-27 11:21:31,1.041s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 11:21:31,2021-08-27 11:21:32,1.010s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Tanggal Kunjungan_appointment_date""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:32,2021-08-27 11:21:33,0.399s,PASSED
if (TanggalKunjungan != 0),Chrome 92.0.4515.159,,,2021-08-27 11:21:33,2021-08-27 11:21:33,0.003s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/span_OK""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:33,2021-08-27 11:21:33,0.582s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 11:21:33,2021-08-27 11:21:34,1.020s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/WaktuKunjungan""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:34,2021-08-27 11:21:35,0.383s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/sementara""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:35,2021-08-27 11:21:35,0.529s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 11:21:35,2021-08-27 11:21:36,1.018s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Cara Pembayaran""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:36,2021-08-27 11:21:37,0.366s,PASSED
"if (CaraPembayaran == ""Jaminan"")",Chrome 92.0.4515.159,,,2021-08-27 11:21:37,2021-08-27 11:21:44,7.269s,PASSED
"if (PernahBerobat == ""Tidak"")",Chrome 92.0.4515.159,,,2021-08-27 11:21:44,2021-08-27 11:21:45,1.427s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/span_Data pasien sama dengan data pemesan""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:45,2021-08-27 11:21:46,0.422s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:21:46,2021-08-27 11:21:48,2.004s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 11:21:48,2021-08-27 11:21:49,1.016s,PASSED
"scrollToElement(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Nomor Kartu Identitas_identity_number""), 30)",Chrome 92.0.4515.159,,,2021-08-27 11:21:49,2021-08-27 11:21:49,0.313s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 11:21:49,2021-08-27 11:21:50,1.006s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Kartu identitas""))",Chrome 92.0.4515.159,,,2021-08-27 11:21:50,2021-08-27 11:21:51,0.387s,PASSED
