Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist OPD,Chrome 92.0.4515.159,,,2021-08-30 16:57:11,2021-08-30 16:57:39,28.807s,PASSED
,,,,,,,
Test Cases/Pre-regis OPD/appointment microsite,Chrome 92.0.4515.159,,,2021-08-30 16:57:11,2021-08-30 16:57:39,28.494s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-30 16:57:11,2021-08-30 16:57:13,2.042s,PASSED
"navigateToUrl(""http://10.85.139.12/appointment-microsite/"")",Chrome 92.0.4515.159,,,2021-08-30 16:57:13,2021-08-30 16:57:16,2.470s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-30 16:57:16,2021-08-30 16:57:16,0.181s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/button_Cari""), 120)",Chrome 92.0.4515.159,,,2021-08-30 16:57:16,2021-08-30 16:57:17,0.767s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-30 16:57:17,2021-08-30 16:57:18,1.058s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/input_Nama Dokter""))",Chrome 92.0.4515.159,,,2021-08-30 16:57:18,2021-08-30 16:57:18,0.465s,PASSED
"setText(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/input_Nama Dokter""), NamaDokter)",Chrome 92.0.4515.159,,,2021-08-30 16:57:18,2021-08-30 16:57:19,0.895s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 16:57:19,2021-08-30 16:57:21,2.014s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/klik nama dokter""))",Chrome 92.0.4515.159,,,2021-08-30 16:57:21,2021-08-30 16:57:22,0.449s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 16:57:22,2021-08-30 16:57:24,2.012s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/button_Cari""))",Chrome 92.0.4515.159,,,2021-08-30 16:57:24,2021-08-30 16:57:24,0.399s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Cari Jadwal Praktek Dr. dr. John C. P._b32dd8/button_Buat Janji Temu""), 120)",Chrome 92.0.4515.159,,,2021-08-30 16:57:24,2021-08-30 16:57:25,0.828s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal Praktek Dr. dr. John C. P._b32dd8/button_Buat Janji Temu""))",Chrome 92.0.4515.159,,,2021-08-30 16:57:25,2021-08-30 16:57:25,0.406s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-30 16:57:25,2021-08-30 16:57:26,1.014s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih tanggal""), 30)",Chrome 92.0.4515.159,,,2021-08-30 16:57:26,2021-08-30 16:57:27,0.391s,PASSED
"scrollToElement(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih tanggal""), 30)",Chrome 92.0.4515.159,,,2021-08-30 16:57:27,2021-08-30 16:57:27,0.383s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/span_31""))",Chrome 92.0.4515.159,,,2021-08-30 16:57:27,2021-08-30 16:57:27,0.392s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-30 16:57:27,2021-08-30 16:57:28,1.009s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih jam""))",Chrome 92.0.4515.159,,,2021-08-30 16:57:28,2021-08-30 16:57:29,0.413s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/button_Lanjut""))",Chrome 92.0.4515.159,,,2021-08-30 16:57:29,2021-08-30 16:57:29,0.522s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-30 16:57:29,2021-08-30 16:57:30,1.006s,PASSED
"if (Reservasi == ""Orang lain"")",Chrome 92.0.4515.159,,,2021-08-30 16:57:30,2021-08-30 16:57:39,8.945s,PASSED
