Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist OPD,Chrome 92.0.4515.159,,,2021-08-30 16:59:13,2021-08-30 16:59:41,27.684s,PASSED
,,,,,,,
Test Cases/Pre-regis OPD/appointment microsite,Chrome 92.0.4515.159,,,2021-08-30 16:59:14,2021-08-30 16:59:41,27.405s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-30 16:59:14,2021-08-30 16:59:16,2.059s,PASSED
"navigateToUrl(""http://10.85.139.12/appointment-microsite/"")",Chrome 92.0.4515.159,,,2021-08-30 16:59:16,2021-08-30 16:59:18,1.693s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-30 16:59:18,2021-08-30 16:59:18,0.171s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/button_Cari""), 120)",Chrome 92.0.4515.159,,,2021-08-30 16:59:18,2021-08-30 16:59:19,0.720s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-30 16:59:19,2021-08-30 16:59:20,1.041s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/input_Nama Dokter""))",Chrome 92.0.4515.159,,,2021-08-30 16:59:20,2021-08-30 16:59:20,0.405s,PASSED
"setText(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/input_Nama Dokter""), NamaDokter)",Chrome 92.0.4515.159,,,2021-08-30 16:59:20,2021-08-30 16:59:21,0.895s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 16:59:21,2021-08-30 16:59:23,2.016s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/klik nama dokter""))",Chrome 92.0.4515.159,,,2021-08-30 16:59:23,2021-08-30 16:59:23,0.411s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 16:59:23,2021-08-30 16:59:25,2.010s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/button_Cari""))",Chrome 92.0.4515.159,,,2021-08-30 16:59:25,2021-08-30 16:59:26,0.427s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Cari Jadwal Praktek Dr. dr. John C. P._b32dd8/button_Buat Janji Temu""), 120)",Chrome 92.0.4515.159,,,2021-08-30 16:59:26,2021-08-30 16:59:27,0.856s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal Praktek Dr. dr. John C. P._b32dd8/button_Buat Janji Temu""))",Chrome 92.0.4515.159,,,2021-08-30 16:59:27,2021-08-30 16:59:27,0.405s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-30 16:59:27,2021-08-30 16:59:28,1.005s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih tanggal""), 30)",Chrome 92.0.4515.159,,,2021-08-30 16:59:28,2021-08-30 16:59:29,0.390s,PASSED
"scrollToElement(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih tanggal""), 30)",Chrome 92.0.4515.159,,,2021-08-30 16:59:29,2021-08-30 16:59:29,0.400s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/span_31""))",Chrome 92.0.4515.159,,,2021-08-30 16:59:29,2021-08-30 16:59:29,0.401s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-30 16:59:29,2021-08-30 16:59:30,1.006s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih jam""))",Chrome 92.0.4515.159,,,2021-08-30 16:59:30,2021-08-30 16:59:31,0.417s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/button_Lanjut""))",Chrome 92.0.4515.159,,,2021-08-30 16:59:31,2021-08-30 16:59:31,0.527s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-30 16:59:31,2021-08-30 16:59:32,1.005s,PASSED
"if (Reservasi == ""Orang lain"")",Chrome 92.0.4515.159,,,2021-08-30 16:59:32,2021-08-30 16:59:41,8.741s,PASSED
