Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist OPD,Chrome 92.0.4515.159,,,2021-08-31 17:06:56,2021-08-31 17:08:25,1m - 29.034s,FAILED
,,,,,,,
Test Cases/Pre-regis OPD/FO OPD,Chrome 92.0.4515.159,,,2021-08-31 17:08:22,2021-08-31 17:08:25,2.559s,FAILED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-31 17:08:22,2021-08-31 17:08:24,1.792s,PASSED
"navigateToUrl(""http://10.85.139.13:1252/pre-registration"")",Chrome 92.0.4515.159,,,2021-08-31 17:08:24,2021-08-31 17:08:25,0.718s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-31 17:08:25,2021-08-31 17:08:25,0.031s,FAILED
