Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist OPD,Chrome 92.0.4515.159,,,2021-09-01 16:28:55,2021-09-01 16:29:31,36.290s,PASSED
,,,,,,,
Test Cases/Pre-regis OPD/FO OPD,Chrome 92.0.4515.159,,,2021-09-01 16:28:55,2021-09-01 16:29:31,35.913s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-09-01 16:28:56,2021-09-01 16:28:58,2.170s,PASSED
"navigateToUrl(""http://10.85.139.13:1252/pre-registration"")",Chrome 92.0.4515.159,,,2021-09-01 16:28:58,2021-09-01 16:28:59,1.374s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-09-01 16:28:59,2021-09-01 16:29:00,0.184s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/FO/button_Sign In FO OPD""), 5)",Chrome 92.0.4515.159,,,2021-09-01 16:29:00,2021-09-01 16:29:21,21.183s,PASSED
"setText(findTestObject(""Pre-regist OPD/FO/input_Username_username FO OPD""), Username)",Chrome 92.0.4515.159,,,2021-09-01 16:29:21,2021-09-01 16:29:22,0.788s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 16:29:22,2021-09-01 16:29:23,1.047s,PASSED
"setText(findTestObject(""Pre-regist OPD/FO/input_Password_password FO OPD""), Password)",Chrome 92.0.4515.159,,,2021-09-01 16:29:23,2021-09-01 16:29:23,0.747s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 16:29:23,2021-09-01 16:29:24,1.018s,PASSED
"click(findTestObject(""Pre-regist OPD/FO/button_Sign In FO OPD""))",Chrome 92.0.4515.159,,,2021-09-01 16:29:24,2021-09-01 16:29:25,0.442s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/FO/input name FO""), 120)",Chrome 92.0.4515.159,,,2021-09-01 16:29:25,2021-09-01 16:29:26,0.840s,PASSED
"click(findTestObject(""Pre-regist OPD/FO/delete tanggal FO""))",Chrome 92.0.4515.159,,,2021-09-01 16:29:26,2021-09-01 16:29:26,0.411s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 16:29:26,2021-09-01 16:29:27,1.005s,PASSED
"setText(findTestObject(""Pre-regist OPD/FO/input tanggal FO""), TanggalFO)",Chrome 92.0.4515.159,,,2021-09-01 16:29:27,2021-09-01 16:29:28,0.810s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 16:29:28,2021-09-01 16:29:29,1.005s,PASSED
"setText(findTestObject(""Pre-regist OPD/FO/input name FO""), NamaLengkap)",Chrome 92.0.4515.159,,,2021-09-01 16:29:29,2021-09-01 16:29:30,1.127s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 16:29:30,2021-09-01 16:29:31,1.013s,PASSED
"click(findTestObject(""Pre-regist OPD/FO/klik update FO""))",Chrome 92.0.4515.159,,,2021-09-01 16:29:31,2021-09-01 16:29:31,0.414s,PASSED
