Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist,Chrome 92.0.4515.159,,,2021-08-27 15:03:59,2021-08-27 15:05:32,1m - 33.471s,PASSED
,,,,,,,
Test Cases/Pre-regist Covid/OP Admin,Chrome 92.0.4515.159,,,2021-08-27 15:03:59,2021-08-27 15:05:32,1m - 32.907s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-27 15:04:01,2021-08-27 15:04:04,2.906s,PASSED
"navigateToUrl(""http://10.85.139.100:8484/checkup"")",Chrome 92.0.4515.159,Link URL,,2021-08-27 15:04:04,2021-08-27 15:04:06,1.858s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""), 120)",Chrome 92.0.4515.159,,,2021-08-27 15:04:06,2021-08-27 15:04:09,3.146s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-27 15:04:09,2021-08-27 15:04:09,0.270s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 15:04:09,2021-08-27 15:04:11,2.028s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Username_username""), Username)",Chrome 92.0.4515.159,"Username
",,2021-08-27 15:04:11,2021-08-27 15:04:12,0.735s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 15:04:12,2021-08-27 15:04:14,2.012s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Password_password""), Password)",Chrome 92.0.4515.159,"Password
",,2021-08-27 15:04:14,2021-08-27 15:04:14,0.725s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""))",Chrome 92.0.4515.159,,,2021-08-27 15:04:14,2021-08-27 15:04:15,0.482s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 15:04:15,2021-08-27 15:04:17,2.012s,PASSED
"waitForPageLoad(30, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-27 15:04:17,2021-08-27 15:04:17,0.067s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add New Group""), 10)",Chrome 92.0.4515.159,,,2021-08-27 15:04:17,2021-08-27 15:04:17,0.365s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add New Group""))",Chrome 92.0.4515.159,,,2021-08-27 15:04:17,2021-08-27 15:04:18,0.424s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/group-name""), GroupName)",Chrome 92.0.4515.159,group name,,2021-08-27 15:04:18,2021-08-27 15:04:20,1.880s,PASSED
"selectOptionByValue(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/select_group type""), GroupType, true)",Chrome 92.0.4515.159,,,2021-08-27 15:04:20,2021-08-27 15:04:21,1.056s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 15:04:21,2021-08-27 15:04:23,2.015s,PASSED
"if (Services == ""DT"")",Chrome 92.0.4515.159,,,2021-08-27 15:04:23,2021-08-27 15:04:23,0.001s,PASSED
else,Chrome 92.0.4515.159,,,2021-08-27 15:04:23,2021-08-27 15:04:23,0.383s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 15:04:23,2021-08-27 15:04:25,2.010s,PASSED
