Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist,Chrome 92.0.4515.159,,,2021-08-27 11:17:50,2021-08-27 11:20:14,2m - 24.201s,PASSED
,,,,,,,
Test Cases/Pre-regist Covid/linktree,Chrome 92.0.4515.159,,,2021-08-27 11:17:50,2021-08-27 11:20:14,2m - 23.639s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-27 11:17:52,2021-08-27 11:17:54,2.911s,PASSED
"navigateToUrl(""https://mysiloam-api-staging.siloamhospitals.com/linktree/"")",Chrome 92.0.4515.159,,,2021-08-27 11:17:54,2021-08-27 11:17:55,0.513s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/div_Select""), 120)",Chrome 92.0.4515.159,,,2021-08-27 11:17:55,2021-08-27 11:17:56,1.248s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-27 11:17:56,2021-08-27 11:17:56,0.181s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 11:17:56,2021-08-27 11:17:57,1.041s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/div_Select""))",Chrome 92.0.4515.159,,,2021-08-27 11:17:57,2021-08-27 11:17:58,0.416s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:17:58,2021-08-27 11:18:00,2.015s,PASSED
"setText(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Select_react-select-2-input""), NamaRS)",Chrome 92.0.4515.159,,,2021-08-27 11:18:00,2021-08-27 11:18:01,0.848s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:18:01,2021-08-27 11:18:03,2.016s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Pilih RS""))",Chrome 92.0.4515.159,,,2021-08-27 11:18:03,2021-08-27 11:18:03,0.372s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:18:03,2021-08-27 11:18:05,2.011s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Pilih NonDT""))",Chrome 92.0.4515.159,,,2021-08-27 11:18:05,2021-08-27 11:18:06,0.400s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Rapid Test Serology""), 30)",Chrome 92.0.4515.159,,,2021-08-27 11:18:06,2021-08-27 11:18:06,0.617s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Rapid Test Serology""))",Chrome 92.0.4515.159,,,2021-08-27 11:18:06,2021-08-27 11:18:07,0.400s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:18:07,2021-08-27 11:18:09,2.022s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/button_Pilih""))",Chrome 92.0.4515.159,,,2021-08-27 11:18:09,2021-08-27 11:18:09,0.400s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Nama Lengkap(Sesuai ID)_name""), 0)",Chrome 92.0.4515.159,,,2021-08-27 11:18:09,2021-08-27 11:18:12,3.357s,PASSED
"setText(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Nama Lengkap(Sesuai ID)_name""), NamaSID)",Chrome 92.0.4515.159,,,2021-08-27 11:18:12,2021-08-27 11:18:13,0.926s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 11:18:13,2021-08-27 11:18:14,1.015s,PASSED
"scrollToElement(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Tanggal Kunjungan_appointment_date""), 30)",Chrome 92.0.4515.159,,,2021-08-27 11:18:14,2021-08-27 11:18:15,0.349s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 11:18:15,2021-08-27 11:18:17,2.004s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Nomor Handphone_form-control""))",Chrome 92.0.4515.159,,,2021-08-27 11:18:17,2021-08-27 11:18:17,0.410s,PASSED
"setText(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Nomor Handphone_form-control""), NoHP)",Chrome 92.0.4515.159,,,2021-08-27 11:18:17,2021-08-27 11:18:18,0.918s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Alamat Email_email""))",Chrome 92.0.4515.159,,,2021-08-27 11:18:18,2021-08-27 11:18:18,0.488s,PASSED
"setText(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Alamat Email_email""), Email)",Chrome 92.0.4515.159,,,2021-08-27 11:18:18,2021-08-27 11:18:20,1.171s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 11:18:20,2021-08-27 11:18:21,1.016s,PASSED
