Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist COVID,Chrome 92.0.4515.159,,,2021-08-30 12:50:10,2021-08-30 12:52:55,2m - 44.691s,PASSED
,,,,,,,
Test Cases/Pre-regist Covid/Linktree - FO,Chrome 92.0.4515.159,,,2021-08-30 12:50:11,2021-08-30 12:52:55,2m - 44.191s,PASSED
"callTestCase(findTestCase(""Pre-regist Covid/TestCase/1. linktree - (Pilih Paket, Data Diri)""), [""NamaRS"":NamaRS, ""NamaSID"":NamaSID, ""NoHP"":NoHP, ""Email"":Email, ""TanggalKunjungan"":TanggalKunjungan, ""WaktuKunjungan"":WaktuKunjungan, ... ], STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-30 12:50:12,2021-08-30 12:51:27,1m - 15.706s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 12:51:27,2021-08-30 12:51:29,2.010s,PASSED
"callTestCase(findTestCase(""Pre-regist Covid/TestCase/2. linktree - (PE Form, pembayaran)""), [""PernahBerobat"":PernahBerobat, ""TujuanPemeriksaan"":TujuanPemeriksaan, ""Pekerjaan"":Pekerjaan, ""Namaortu"":Namaortu, ""Provinsi"":Provinsi, ... ], STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-30 12:51:29,2021-08-30 12:52:53,1m - 23.752s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 12:52:53,2021-08-30 12:52:55,2.007s,PASSED
