Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist,Chrome 92.0.4515.159,,,2021-08-27 10:57:57,2021-08-27 10:59:22,1m - 24.803s,PASSED
,,,,,,,
Test Cases/Pre-regist Covid/OP Admin,Chrome 92.0.4515.159,,,2021-08-27 10:57:58,2021-08-27 10:59:22,1m - 24.074s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-27 10:57:59,2021-08-27 10:58:03,3.200s,PASSED
"navigateToUrl(""http://10.85.139.100:8484/checkup"")",Chrome 92.0.4515.159,Link URL,,2021-08-27 10:58:03,2021-08-27 10:58:09,6.802s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""), 120)",Chrome 92.0.4515.159,,,2021-08-27 10:58:09,2021-08-27 10:58:12,2.498s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-27 10:58:12,2021-08-27 10:58:12,0.189s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 10:58:12,2021-08-27 10:58:14,2.043s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Username_username""), Username)",Chrome 92.0.4515.159,"Username
",,2021-08-27 10:58:14,2021-08-27 10:58:15,0.719s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 10:58:15,2021-08-27 10:58:17,2.015s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Password_password""), Password)",Chrome 92.0.4515.159,"Password
",,2021-08-27 10:58:17,2021-08-27 10:58:18,0.701s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""))",Chrome 92.0.4515.159,,,2021-08-27 10:58:18,2021-08-27 10:58:18,0.477s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 10:58:18,2021-08-27 10:58:20,2.014s,PASSED
