Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist,Chrome 92.0.4515.159,,,2021-08-27 14:55:02,2021-08-27 14:56:34,1m - 31.673s,PASSED
,,,,,,,
Test Cases/Pre-regist Covid/OP Admin,Chrome 92.0.4515.159,,,2021-08-27 14:55:02,2021-08-27 14:56:34,1m - 31.155s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-27 14:55:03,2021-08-27 14:55:06,2.938s,PASSED
"navigateToUrl(""http://10.85.139.100:8484/checkup"")",Chrome 92.0.4515.159,Link URL,,2021-08-27 14:55:06,2021-08-27 14:55:09,2.586s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""), 120)",Chrome 92.0.4515.159,,,2021-08-27 14:55:09,2021-08-27 14:55:12,3.239s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-27 14:55:12,2021-08-27 14:55:12,0.187s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:55:12,2021-08-27 14:55:14,2.069s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Username_username""), Username)",Chrome 92.0.4515.159,"Username
",,2021-08-27 14:55:14,2021-08-27 14:55:15,0.864s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:55:15,2021-08-27 14:55:17,2.009s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Password_password""), Password)",Chrome 92.0.4515.159,"Password
",,2021-08-27 14:55:17,2021-08-27 14:55:18,0.802s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""))",Chrome 92.0.4515.159,,,2021-08-27 14:55:18,2021-08-27 14:55:19,0.544s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:55:19,2021-08-27 14:55:21,2.018s,PASSED
"waitForPageLoad(30, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-27 14:55:21,2021-08-27 14:55:21,0.099s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add New Group""), 10)",Chrome 92.0.4515.159,,,2021-08-27 14:55:21,2021-08-27 14:55:21,0.451s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add New Group""))",Chrome 92.0.4515.159,,,2021-08-27 14:55:21,2021-08-27 14:55:22,0.465s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/group-name""), GroupName)",Chrome 92.0.4515.159,group name,,2021-08-27 14:55:22,2021-08-27 14:55:23,1.784s,PASSED
"selectOptionByValue(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/select_group type""), GroupType, true)",Chrome 92.0.4515.159,,,2021-08-27 14:55:23,2021-08-27 14:55:25,1.191s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:55:25,2021-08-27 14:55:27,2.022s,PASSED
"if (Services == ""DT"")",Chrome 92.0.4515.159,,,2021-08-27 14:55:27,2021-08-27 14:55:27,0.444s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:55:27,2021-08-27 14:55:29,2.012s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/dropdown""))",Chrome 92.0.4515.159,,,2021-08-27 14:55:29,2021-08-27 14:55:30,0.466s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:55:30,2021-08-27 14:55:32,2.019s,PASSED
"if (Paket == ""Rapid Test"")",Chrome 92.0.4515.159,,,2021-08-27 14:55:32,2021-08-27 14:55:35,2.962s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:55:35,2021-08-27 14:55:37,2.022s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/Body URL""))",Chrome 92.0.4515.159,,,2021-08-27 14:55:37,2021-08-27 14:55:37,0.487s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 14:55:37,2021-08-27 14:55:38,1.009s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Save""))",Chrome 92.0.4515.159,,,2021-08-27 14:55:38,2021-08-27 14:55:39,0.445s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/div_OKCancel""), 5)",Chrome 92.0.4515.159,,,2021-08-27 14:55:39,2021-08-27 14:55:49,10.358s,PASSED
delay(3),Chrome 92.0.4515.159,,,2021-08-27 14:55:49,2021-08-27 14:55:52,3.016s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add Schedule""))",Chrome 92.0.4515.159,,,2021-08-27 14:55:52,2021-08-27 14:55:52,0.522s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:55:52,2021-08-27 14:55:54,2.015s,PASSED
"selectOptionByValue(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/select_Hari""), Hari, true)",Chrome 92.0.4515.159,,,2021-08-27 14:55:54,2021-08-27 14:55:56,1.206s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Quota Appointment""), Appointment)",Chrome 92.0.4515.159,,,2021-08-27 14:55:56,2021-08-27 14:55:56,0.784s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Quota Non Appointment""), NonAppointment)",Chrome 92.0.4515.159,,,2021-08-27 14:55:56,2021-08-27 14:55:57,0.871s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-27 14:55:57,2021-08-27 14:55:58,1.015s,PASSED
println(Services),Chrome 92.0.4515.159,,,2021-08-27 14:55:58,2021-08-27 14:55:58,0.038s,PASSED
"if (Services == ""nonDT"")",Chrome 92.0.4515.159,,,2021-08-27 14:55:58,2021-08-27 14:55:58,0.001s,PASSED
else,Chrome 92.0.4515.159,,,2021-08-27 14:55:58,2021-08-27 14:56:13,15.083s,PASSED
delay(20),Chrome 92.0.4515.159,,,2021-08-27 14:56:13,2021-08-27 14:56:34,20.019s,PASSED
