Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist,Chrome 92.0.4515.159,,,2021-08-25 13:35:48,2021-08-25 13:37:00,1m - 12.082s,ERROR
,,,,,,,
Test Cases/Pre-regist Covid/OP Admin,Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:37:00,17.113s,ERROR
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.014s,NOT_RUN
"navigateToUrl(""http://10.85.139.100:8484/checkup"")",Chrome 92.0.4515.159,Link URL,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.000s,NOT_RUN
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""), 120)",Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.000s,NOT_RUN
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.001s,NOT_RUN
delay(2),Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.000s,NOT_RUN
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Username_username""), Username)",Chrome 92.0.4515.159,"Username
",,2021-08-25 13:36:43,2021-08-25 13:36:43,0.001s,NOT_RUN
delay(2),Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.001s,NOT_RUN
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Password_password""), Password)",Chrome 92.0.4515.159,"Password
",,2021-08-25 13:36:43,2021-08-25 13:36:43,0.000s,NOT_RUN
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""))",Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.000s,NOT_RUN
delay(2),Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.001s,NOT_RUN
"waitForPageLoad(30, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.000s,NOT_RUN
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add New Group""), 10)",Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.001s,NOT_RUN
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add New Group""))",Chrome 92.0.4515.159,,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.000s,NOT_RUN
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/group-name""), GroupName)",Chrome 92.0.4515.159,group name,,2021-08-25 13:36:43,2021-08-25 13:36:43,0.000s,NOT_RUN
