Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist COVID,Chrome 92.0.4515.159,,,2021-08-30 10:24:57,2021-08-30 10:28:17,3m - 20.593s,PASSED
,,,,,,,
Test Cases/Pre-regist Covid/Linktree - FO,Chrome 92.0.4515.159,,,2021-08-30 10:24:57,2021-08-30 10:28:17,3m - 20.155s,PASSED
"callTestCase(findTestCase(""Pre-regist Covid/TestCase/1. linktree - (Pilih Paket, Data Diri)""), [""NamaRS"":NamaRS, ""NamaSID"":NamaSID, ""NoHP"":NoHP, ""Email"":Email, ""TanggalKunjungan"":TanggalKunjungan, ""WaktuKunjungan"":WaktuKunjungan, ... ], STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-30 10:24:58,2021-08-30 10:26:21,1m - 23.253s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 10:26:21,2021-08-30 10:26:23,2.002s,PASSED
"callTestCase(findTestCase(""Pre-regist Covid/TestCase/2. linktree - (PE Form, pembayaran)""), [""PernahBerobat"":PernahBerobat, ""TujuanPemeriksaan"":TujuanPemeriksaan, ""Pekerjaan"":Pekerjaan, ""Namaortu"":Namaortu, ""Provinsi"":Provinsi, ... ], STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-30 10:26:23,2021-08-30 10:28:15,1m - 52.198s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 10:28:15,2021-08-30 10:28:17,2.005s,PASSED
