Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist COVID,,,,2021-08-30 08:47:58,2021-08-30 08:48:01,3.055s,ERROR
,,,,,,,
Test Cases/Pre-regist Covid/linktree,,,,2021-08-30 08:48:01,2021-08-30 08:48:01,0.497s,ERROR
