Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist,Chrome 92.0.4515.159,,,2021-08-27 14:48:10,2021-08-27 14:49:22,1m - 12.543s,PASSED
,,,,,,,
Test Cases/Pre-regist Covid/OP Admin,Chrome 92.0.4515.159,,,2021-08-27 14:48:10,2021-08-27 14:49:22,1m - 12.023s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-27 14:48:12,2021-08-27 14:48:15,3.373s,PASSED
"navigateToUrl(""http://10.85.139.100:8484/checkup"")",Chrome 92.0.4515.159,Link URL,,2021-08-27 14:48:15,2021-08-27 14:48:18,2.924s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""), 120)",Chrome 92.0.4515.159,,,2021-08-27 14:48:18,2021-08-27 14:48:21,3.286s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-27 14:48:21,2021-08-27 14:48:22,0.206s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:48:22,2021-08-27 14:48:24,2.043s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Username_username""), Username)",Chrome 92.0.4515.159,"Username
",,2021-08-27 14:48:24,2021-08-27 14:48:24,0.834s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:48:24,2021-08-27 14:48:26,2.007s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/input_Password_password""), Password)",Chrome 92.0.4515.159,"Password
",,2021-08-27 14:48:26,2021-08-27 14:48:27,0.797s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Login""))",Chrome 92.0.4515.159,,,2021-08-27 14:48:27,2021-08-27 14:48:28,0.551s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-27 14:48:28,2021-08-27 14:48:30,2.005s,PASSED
"waitForPageLoad(30, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-27 14:48:30,2021-08-27 14:48:30,0.138s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add New Group""), 10)",Chrome 92.0.4515.159,,,2021-08-27 14:48:30,2021-08-27 14:48:30,0.506s,PASSED
"click(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/button_Add New Group""))",Chrome 92.0.4515.159,,,2021-08-27 14:48:30,2021-08-27 14:48:31,0.479s,PASSED
"setText(findTestObject(""Pre-regist Covid/OP Admin/MySiloam OPD Administrator/group-name""), GroupName)",Chrome 92.0.4515.159,group name,,2021-08-27 14:48:31,2021-08-27 14:48:33,1.640s,PASSED
