Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist OPD,Chrome 92.0.4515.159,,,2021-09-01 15:38:27,2021-09-01 15:40:08,1m - 41.041s,PASSED
,,,,,,,
Test Cases/Pre-regis OPD/appointment microsite,Chrome 92.0.4515.159,,,2021-09-01 15:38:27,2021-09-01 15:40:08,1m - 40.678s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-09-01 15:38:28,2021-09-01 15:38:30,2.192s,PASSED
"navigateToUrl(""http://10.85.139.12/appointment-microsite/"")",Chrome 92.0.4515.159,,,2021-09-01 15:38:30,2021-09-01 15:38:32,2.475s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-09-01 15:38:32,2021-09-01 15:38:32,0.172s,PASSED
"waitForPageLoad(120, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-09-01 15:38:32,2021-09-01 15:38:33,0.277s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 15:38:33,2021-09-01 15:38:34,1.038s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/input_Nama Dokter""))",Chrome 92.0.4515.159,,,2021-09-01 15:38:34,2021-09-01 15:38:34,0.505s,PASSED
"setText(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/input_Nama Dokter""), NamaDokter)",Chrome 92.0.4515.159,,,2021-09-01 15:38:34,2021-09-01 15:38:35,0.883s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-09-01 15:38:35,2021-09-01 15:38:37,2.008s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/klik nama dokter""))",Chrome 92.0.4515.159,,,2021-09-01 15:38:37,2021-09-01 15:38:38,0.445s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-09-01 15:38:38,2021-09-01 15:38:40,2.005s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/button_Cari""))",Chrome 92.0.4515.159,,,2021-09-01 15:38:40,2021-09-01 15:38:40,0.415s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/Page_Cari Jadwal Praktek Dr. dr. John C. P._b32dd8/button_Buat Janji Temu""), 120)",Chrome 92.0.4515.159,,,2021-09-01 15:38:40,2021-09-01 15:38:41,0.926s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/Page_Cari Jadwal Praktek Dr. dr. John C. P._b32dd8/button_Buat Janji Temu""))",Chrome 92.0.4515.159,,,2021-09-01 15:38:41,2021-09-01 15:38:41,0.404s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 15:38:41,2021-09-01 15:38:42,1.020s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih tanggal""), 30)",Chrome 92.0.4515.159,,,2021-09-01 15:38:42,2021-09-01 15:38:43,0.388s,PASSED
"scrollToElement(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih tanggal""), 30)",Chrome 92.0.4515.159,,,2021-09-01 15:38:43,2021-09-01 15:38:43,0.386s,PASSED
"if (TanggalJanji != ""0"")",Chrome 92.0.4515.159,tiap bulan update,,2021-09-01 15:38:43,2021-09-01 15:38:45,1.430s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 15:38:45,2021-09-01 15:38:46,1.020s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih jam""))",Chrome 92.0.4515.159,,,2021-09-01 15:38:46,2021-09-01 15:38:46,0.422s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/button_Lanjut""))",Chrome 92.0.4515.159,,,2021-09-01 15:38:46,2021-09-01 15:38:47,0.553s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 15:38:47,2021-09-01 15:38:48,1.013s,PASSED
"if (Reservasi == ""Orang lain"")",Chrome 92.0.4515.159,,,2021-09-01 15:38:48,2021-09-01 15:40:08,1m - 20.023s,PASSED
