Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist OPD,Chrome 92.0.4515.159,,,2021-09-02 09:16:20,2021-09-02 09:17:25,1m - 5.039s,PASSED
,,,,,,,
Test Cases/Pre-regis OPD/FO/FO - patient data,Chrome 92.0.4515.159,,,2021-09-02 09:16:21,2021-09-02 09:17:25,1m - 4.644s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-09-02 09:16:21,2021-09-02 09:16:23,1.943s,PASSED
"navigateToUrl(""http://10.85.139.13:1252/pre-registration"")",Chrome 92.0.4515.159,,,2021-09-02 09:16:23,2021-09-02 09:16:25,1.920s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-09-02 09:16:25,2021-09-02 09:16:25,0.141s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/FO/button_Sign In FO OPD""), 5)",Chrome 92.0.4515.159,,,2021-09-02 09:16:25,2021-09-02 09:16:46,21.143s,PASSED
"setText(findTestObject(""Pre-regist OPD/FO/input_Username_username FO OPD""), Username)",Chrome 92.0.4515.159,,,2021-09-02 09:16:46,2021-09-02 09:16:47,0.742s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-02 09:16:47,2021-09-02 09:16:48,1.026s,PASSED
"setText(findTestObject(""Pre-regist OPD/FO/input_Password_password FO OPD""), Password)",Chrome 92.0.4515.159,,,2021-09-02 09:16:48,2021-09-02 09:16:49,0.662s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-02 09:16:49,2021-09-02 09:16:50,1.017s,PASSED
"click(findTestObject(""Pre-regist OPD/FO/button_Sign In FO OPD""))",Chrome 92.0.4515.159,,,2021-09-02 09:16:50,2021-09-02 09:16:50,0.392s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/FO/input name FO""), 120)",Chrome 92.0.4515.159,,,2021-09-02 09:16:50,2021-09-02 09:16:51,1.262s,PASSED
"click(findTestObject(""Pre-regist OPD/FO/delete tanggal FO""))",Chrome 92.0.4515.159,,,2021-09-02 09:16:51,2021-09-02 09:16:51,0.003s,NOT_RUN
delay(1),Chrome 92.0.4515.159,,,2021-09-02 09:16:51,2021-09-02 09:16:51,0.000s,NOT_RUN
"setText(findTestObject(""Pre-regist OPD/FO/input tanggal FO""), TanggalFO)",Chrome 92.0.4515.159,,,2021-09-02 09:16:51,2021-09-02 09:16:51,0.001s,NOT_RUN
delay(1),Chrome 92.0.4515.159,,,2021-09-02 09:16:51,2021-09-02 09:16:51,0.001s,NOT_RUN
"setText(findTestObject(""Pre-regist OPD/FO/input name FO""), NamaLengkap)",Chrome 92.0.4515.159,,,2021-09-02 09:16:51,2021-09-02 09:16:51,0.002s,NOT_RUN
delay(1),Chrome 92.0.4515.159,,,2021-09-02 09:16:51,2021-09-02 09:16:51,0.002s,NOT_RUN
"click(findTestObject(""Pre-regist OPD/FO/klik update FO""))",Chrome 92.0.4515.159,,,2021-09-02 09:16:51,2021-09-02 09:16:51,0.000s,NOT_RUN
delay(1),Chrome 92.0.4515.159,,,2021-09-02 09:16:51,2021-09-02 09:16:52,1.018s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/FO/div_Patient Data""))",Chrome 92.0.4515.159,,,2021-09-02 09:16:52,2021-09-02 09:16:56,3.613s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/FO/input_nama pasien""), 30)",Chrome 92.0.4515.159,,,2021-09-02 09:16:56,2021-09-02 09:16:57,0.865s,PASSED
